Date,Total Cases,New Cases,New Cases 7-Day Moving Average,Case Growth,Cases Growth 7DMA,Total Deaths,New Deaths,New Deaths 7DMA,Death Growth,Death Growth 7DMA,Total Recoveries,New Recoveries,Recovery Rate,Active Cases,Case Fatality Rate (CFR),Adjusted CFR,Total Deaths per MM Population,Total Cases per MM Population,Active Cases per ICU Bed
12/30/2020,110485,1870,1678.285714,1.72%,1.62%,463,6,2.714285714,1.31%,0.60%,87460,745,79.16%,22562,0.42%,0.53%,14.31,3413.61,
12/31/2020,113010,2525,1813.142857,2.29%,1.72%,471,8,3.571428571,1.73%,0.78%,88941,1481,78.70%,23598,0.42%,0.53%,14.55,3491.63,
1/1/2021,115078,2068,1930.428571,1.83%,1.80%,474,3,3.571428571,0.64%,0.78%,91171,2230,79.23%,23433,0.41%,0.52%,14.64,3555.52,
1/2/2021,117373,2295,1924.714286,1.99%,1.76%,483,9,4.571428571,1.90%,0.99%,94492,3321,80.51%,22398,0.41%,0.51%,14.92,3626.43,
1/3/2021,119077,1704,1997.285714,1.45%,1.80%,494,11,6,2.28%,1.28%,97218,2726,81.64%,21365,0.41%,0.51%,15.26,3679.08,
1/4/2021,120818,1741,2018.285714,1.46%,1.79%,501,7,6.571428571,1.42%,1.39%,98228,1010,81.30%,22089,0.41%,0.51%,15.48,3732.87,
1/5/2021,122845,2027,2032.857143,1.68%,1.77%,509,8,7.428571429,1.60%,1.55%,99449,1221,80.95%,22887,0.41%,0.51%,15.73,3795.5,
1/6/2021,125438,2593,2136.142857,2.11%,1.83%,513,4,7.142857143,0.79%,1.48%,100578,1129,80.18%,24347,0.41%,0.51%,15.85,3875.61,
1/7/2021,128465,3027,2207.857143,2.41%,1.85%,521,8,7.142857143,1.56%,1.46%,102723,2145,79.96%,25221,0.41%,0.50%,16.1,3969.13,
1/8/2021,131108,2643,2290,2.06%,1.88%,537,16,9,3.07%,1.80%,105431,2708,80.42%,25140,0.41%,0.51%,16.59,4050.79,
